       step          sn     cputime cputimediff       angle         ref           v 
 180.000000  411.000000    2.061962    0.005949   15.380859   19.800000    0.628563 
 181.000000  412.000000    2.067914    0.005952   16.347656   21.600000    0.759076 
 182.000000  414.000000    2.073862    0.005948   21.357422   25.200000    0.957096 
 183.000000  415.000000    2.079811    0.005949   24.873047   27.000000    0.285029 
 184.000000  416.000000    2.085749    0.005938   28.652344   28.800000    0.097510 
 185.000000  417.000000    2.091790    0.006041   32.783203   30.600000   -0.100510 
 186.000000  418.000000    2.097690    0.005900   35.332031   32.400000   -0.339034 
 187.000000  420.000000    2.103594    0.005904   36.826172   36.000000    0.279028 
 188.000000  421.000000    2.109500    0.005906   37.001953   37.800000    0.259526 
 189.000000  422.000000    2.115397    0.005896   37.089844   39.600000    0.415542 
 190.000000  423.000000    2.121295    0.005899   37.001953   41.400000    0.570057 
 191.000000  424.000000    2.127181    0.005886   37.265625   43.200000    0.750075 
 192.000000  426.000000    2.133077    0.005896   41.308594   46.800000    1.018602 
 193.000000  427.000000    2.138981    0.005904   44.560547   48.600000    0.505551 
 194.000000  428.000000    2.144878    0.005897   48.251953   50.400000    0.295530 
 195.000000  429.000000    2.150778    0.005899   52.382812   52.200000    0.082508 
 196.000000  430.000000    2.156674    0.005897   56.337891   54.000000   -0.166517 
 197.000000  431.000000    2.162569    0.005895   58.183594   55.800000   -0.322532 
 198.000000  433.000000    2.168465    0.005896   59.765625   59.400000    0.331533 
 199.000000  434.000000    2.174372    0.005907   60.117188   61.200000    0.304530 
 200.000000  435.000000    2.180274    0.005901   61.083984   63.000000    0.424542 
 201.000000  436.000000    2.186174    0.005900   62.841797   64.800000    0.414041 
 202.000000  437.000000    2.192078    0.005904   64.511719   66.600000    0.316532 
 203.000000  439.000000    2.197982    0.005905   67.236328   70.200000    0.703570 
 204.000000  440.000000    2.204002    0.006020   68.378906   72.000000    0.469547 
 205.000000  441.000000    2.209901    0.005899   69.521484   73.800000    0.537054 
 206.000000  442.000000    2.215796    0.005895   72.246094   75.600000    0.592559 
 207.000000  443.000000    2.221700    0.005905   74.794922   77.400000    0.312031 
 208.000000  444.000000    2.227598    0.005898   77.167969   79.200000    0.274527 
 209.000000  446.000000    2.233500    0.005902   81.474609   82.800000    0.705071 
 210.000000  447.000000    2.239399    0.005898   83.847656   84.600000    0.237024 
 211.000000  448.000000    2.245345    0.005947   87.451172   86.400000    0.144014 
 212.000000  449.000000    2.251235    0.005889   90.000000   88.200000   -0.163516 
 213.000000  450.000000    2.257188    0.005954   91.054688   90.000000   -0.090009 
 214.000000  452.000000    2.263149    0.005961   93.515625   93.600000    0.448545 
 215.000000  453.000000    2.269100    0.005951   95.009766   95.400000    0.201020 
 216.000000  454.000000    2.275165    0.006065   96.416016   97.200000    0.226523 
 217.000000  455.000000    2.281098    0.005932   97.646484   99.000000    0.271527 
 218.000000  456.000000    2.287144    0.006046   98.525391  100.800000    0.342034 
 219.000000  458.000000    2.293087    0.005943   98.876953  104.400000    0.726073 
 220.000000  459.000000    2.298982    0.005895   99.052734  106.200000    0.837084 
 221.000000  460.000000    2.304896    0.005914  100.458984  108.000000    0.963096 
 222.000000  461.000000    2.310798    0.005902  102.656250  109.800000    0.838584 
 223.000000  462.000000    2.316698    0.005900  106.259766  111.600000    0.705071 
 224.000000  463.000000    2.322596    0.005898  109.775391  113.400000    0.376538 
 225.000000  465.000000    2.328494    0.005898  117.333984  117.000000    0.850585 
 226.000000  466.000000    2.334410    0.005917  122.255859  118.800000   -0.148515 
 227.000000  467.000000    2.340311    0.005901  126.914062  120.600000   -0.522052 
 228.000000  468.000000    2.346333    0.006021  130.693359  122.400000   -0.726073 
 229.000000  469.000000    2.352239    0.005906  131.660156  124.200000   -0.780078 
 230.000000  471.000000    2.358145    0.005906  128.847656  127.800000   -0.078008 
 231.000000  472.000000    2.364054    0.005909  126.826172  129.600000    0.553555 
 232.000000  473.000000    2.369950    0.005896  124.980469  131.400000    0.882088 
 233.000000  474.000000    2.375853    0.005903  126.035156  133.200000    1.164116 
 234.000000  475.000000    2.381749    0.005896  128.320312  135.000000    0.853585 
 235.000000  476.000000    2.387661    0.005912  131.923828  136.800000    0.657066 
 236.000000  478.000000    2.393546    0.005885  140.449219  140.400000    0.954095 
 237.000000  479.000000    2.399455    0.005909  145.371094  142.200000   -0.250525 
 238.000000  480.000000    2.405359    0.005904  149.941406  144.000000   -0.498050 
 239.000000  481.000000    2.411250    0.005891  153.984375  145.800000   -0.684068 
 240.000000  482.000000    2.417240    0.005990  155.126953  147.600000   -0.804080 
 241.000000  484.000000    2.423082    0.005841  155.126953  151.200000   -0.084008 
 242.000000  485.000000    2.428984    0.005902  154.775391  153.000000    0.111011 
 243.000000  486.000000    2.434939    0.005956  154.335938  154.800000    0.288029 
 244.000000  487.000000    2.440891    0.005952  154.599609  156.600000    0.484548 
 245.000000  488.000000    2.446845    0.005954  156.005859  158.400000    0.522052 
 246.000000  489.000000    2.452794    0.005949  157.851562  160.200000    0.408041 
 247.000000  491.000000    2.458749    0.005955  162.333984  163.800000    0.736574 
 248.000000  492.000000    2.464705    0.005956  165.146484  165.600000    0.208521 
 249.000000  493.000000    2.470592    0.005887  167.695312  167.400000    0.067507 
 250.000000  494.000000    2.476530    0.005938  170.068359  169.200000    0.039004 
 251.000000  495.000000    2.482434    0.005904  172.177734  171.000000    0.015002 
 252.000000  497.000000    2.488460    0.006026  173.320312  174.600000    0.444044 
 253.000000  498.000000    2.494368    0.005908  173.496094  176.400000    0.475548 
 254.000000  499.000000    2.500275    0.005908  173.496094  178.200000    0.612061 
 255.000000  500.000000    2.506183    0.005908  173.496094  180.000000    0.784578 
 256.000000  501.000000    2.512085    0.005902  173.583984  178.200000    0.936094 
 257.000000  503.000000    2.517991    0.005905  177.626953  174.600000    0.168017 
 258.000000  504.000000    2.523894    0.005903  180.087891  172.800000   -0.634563 
 259.000000  505.000000    2.529793    0.005899  182.460938  171.000000   -0.990099 
 260.000000  506.000000    2.535698    0.005905  181.757812  169.200000   -1.327633 
 261.000000  507.000000    2.541601    0.005903  179.208984  167.400000   -1.026103 
 262.000000  508.000000    2.547507    0.005906  175.166016  165.600000   -0.729073 
 263.000000  510.000000    2.553403    0.005896  166.728516  162.000000   -1.026103 
 264.000000  511.000000    2.559433    0.006030  160.400391  160.200000    0.102010 
 265.000000  512.000000    2.565334    0.005901  154.599609  158.400000    0.714071 
 266.000000  513.000000    2.571235    0.005901  150.996094  156.600000    0.979598 
 267.000000  514.000000    2.577149    0.005914  149.238281  154.800000    0.846085 
 268.000000  516.000000    2.583056    0.005907  150.732422  151.200000    0.232523 
 269.000000  517.000000    2.588980    0.005924  152.050781  149.400000   -0.199520 
 270.000000  518.000000    2.594888    0.005908  153.193359  147.600000   -0.471047 
 271.000000  519.000000    2.600798    0.005910  153.544922  145.800000   -0.693069 
 272.000000  520.000000    2.606706    0.005908  152.314453  144.000000   -0.771077 
 273.000000  521.000000    2.612657    0.005951  150.117188  142.200000   -0.616562 
 274.000000  523.000000    2.618606    0.005949  144.052734  138.600000   -0.895590 
