       step          sn     cputime cputimediff       angle         ref       error           v 
 220.000000  463.000000    2.332108    0.005898  115.839844  113.400000   -2.439844   -0.195020 
 221.000000  464.000000    2.338003    0.005895  119.707031  115.200000   -4.507031   -0.388539 
 222.000000  465.000000    2.343896    0.005893  121.552734  117.000000   -4.552734   -0.567057 
 223.000000  467.000000    2.349802    0.005906  120.673828  120.600000   -0.073828   -0.280528 
 224.000000  468.000000    2.355706    0.005904  118.388672  122.400000    4.011328    0.597060 
 225.000000  469.000000    2.361609    0.005903  115.927734  124.200000    8.272266    1.164116 
 226.000000  470.000000    2.367505    0.005896  116.191406  126.000000    9.808594    1.609661 
 227.000000  471.000000    2.373532    0.006026  118.652344  127.800000    9.147656    1.363636 
 228.000000  473.000000    2.379424    0.005892  128.408203  131.400000    2.991797    0.915092 
 229.000000  474.000000    2.385329    0.005905  133.945312  133.200000   -0.745312   -0.030003 
 230.000000  475.000000    2.391228    0.005899  140.185547  135.000000   -5.185547   -0.433543 
 231.000000  476.000000    2.397121    0.005892  144.667969  136.800000   -7.867969   -0.972097 
 232.000000  477.000000    2.403079    0.005959  146.601562  138.600000   -8.001562   -0.979598 
 233.000000  478.000000    2.409038    0.005958  146.601562  140.400000   -6.201562   -0.622562 
 234.000000  480.000000    2.414991    0.005953  143.085938  144.000000    0.914062    0.010501 
 235.000000  481.000000    2.420937    0.005946  140.625000  145.800000    5.175000    0.850585 
 236.000000  482.000000    2.426891    0.005953  138.339844  147.600000    9.260156    1.308131 
 237.000000  483.000000    2.432833    0.005943  138.955078  149.400000   10.444922    1.683168 
 238.000000  484.000000    2.438778    0.005945  142.119141  151.200000    9.080859    1.378638 
 239.000000  486.000000    2.444812    0.006034  152.666016  154.800000    2.133984    0.741074 
 240.000000  487.000000    2.450718    0.005906  159.873047  156.600000   -3.273047   -0.201020 
 241.000000  488.000000    2.456616    0.005899  166.728516  158.400000   -8.328516   -0.922592 
 242.000000  489.000000    2.462515    0.005899  170.507812  160.200000  -10.307813   -1.368137 
 243.000000  490.000000    2.468413    0.005898  172.265625  162.000000  -10.265625   -1.114611 
 244.000000  492.000000    2.474312    0.005899  169.365234  165.600000   -3.765234   -0.813081 
 245.000000  493.000000    2.480208    0.005896  167.167969  167.400000    0.232031    0.393039 
 246.000000  494.000000    2.486113    0.005905  164.267578  169.200000    4.932422    0.784578 
 247.000000  495.000000    2.492010    0.005897  162.158203  171.000000    8.841797    1.347135 
 248.000000  496.000000    2.497913    0.005903  162.861328  172.800000    9.938672    1.617162 
 249.000000  497.000000    2.503808    0.005895  165.673828  174.600000    8.926172    1.315632 
 250.000000  499.000000    2.509712    0.005904  175.781250  178.200000    2.418750    0.811581 
 251.000000  500.000000    2.515667    0.005955  182.460938  180.000000   -2.460938   -0.096010 
 252.000000  501.000000    2.521566    0.005899  189.140625  178.200000  -10.940625   -0.766577 
 253.000000  502.000000    2.527464    0.005898  193.359375  176.400000  -16.959375   -2.124212 
 254.000000  503.000000    2.533363    0.005899  194.501953  174.600000  -19.901953   -2.358236 
 255.000000  505.000000    2.539264    0.005901  185.976562  171.000000  -14.976562   -2.488749 
 256.000000  506.000000    2.545169    0.005905  177.626953  169.200000   -8.426953   -0.714071 
 257.000000  507.000000    2.551164    0.005995  168.398438  167.400000   -0.998438    0.297030 
 258.000000  508.000000    2.557057    0.005893  159.433594  165.600000    6.166406    1.150615 
 259.000000  509.000000    2.562956    0.005898  153.632812  163.800000   10.167188    1.813681 
 260.000000  510.000000    2.568855    0.005900  151.347656  162.000000   10.652344    1.744674 
 261.000000  512.000000    2.574752    0.005897  155.566406  158.400000    2.833594    1.329133 
 262.000000  513.000000    2.580653    0.005901  161.191406  156.600000   -4.591406   -0.301530 
 263.000000  514.000000    2.586559    0.005906  166.992188  154.800000  -12.192187   -1.363636 
 264.000000  515.000000    2.592610    0.006051  171.298828  153.000000  -18.298828   -2.134713 
 265.000000  516.000000    2.598576    0.005966  171.474609  151.200000  -20.274609   -2.518752 
 266.000000  518.000000    2.604533    0.005957  161.015625  147.600000  -13.415625   -2.307231 
 267.000000  519.000000    2.610493    0.005960  150.996094  145.800000   -5.196094   -0.411041 
 268.000000  520.000000    2.616442    0.005949  138.955078  144.000000    5.044922    0.840084 
 269.000000  521.000000    2.622384    0.005942  130.517578  142.200000   11.682422    2.139214 
 270.000000  522.000000    2.628290    0.005905  125.771484  140.400000   14.628516    2.263726 
 271.000000  523.000000    2.634165    0.005876  126.035156  138.600000   12.564844    2.016202 
 272.000000  525.000000    2.640124    0.005958  136.845703  135.000000   -1.845703    0.883588 
 273.000000  526.000000    2.646033    0.005909  145.371094  133.200000  -12.171094   -1.248125 
 274.000000  527.000000    2.651926    0.005894  152.666016  131.400000  -21.266016   -2.542754 
 275.000000  528.000000    2.657911    0.005985  154.599609  129.600000  -24.999609   -3.258326 
 276.000000  529.000000    2.663810    0.005899  151.171875  127.800000  -23.371875   -2.845785 
 277.000000  531.000000    2.669714    0.005904  132.626953  124.200000   -8.426953   -1.749175 
 278.000000  532.000000    2.675621    0.005907  118.125000  122.400000    4.275000    0.624062 
 279.000000  533.000000    2.681519    0.005898  106.347656  120.600000   14.252344    2.406241 
 280.000000  534.000000    2.687420    0.005901   98.701172  118.800000   20.098828    2.986799 
 281.000000  535.000000    2.693416    0.005995   96.503906  117.000000   20.496094    2.959796 
 282.000000  537.000000    2.699313    0.005898  106.523438  113.400000    6.876562    2.247225 
 283.000000  538.000000    2.705218    0.005905  115.048828  111.600000   -3.448828   -0.453045 
 284.000000  539.000000    2.711116    0.005897  125.332031  109.800000  -15.532031   -1.695170 
 285.000000  540.000000    2.717016    0.005900  131.044922  108.000000  -23.044922   -3.136814 
 286.000000  541.000000    2.722909    0.005893  131.748047  106.200000  -25.548047   -3.210321 
 287.000000  542.000000    2.728813    0.005904  127.001953  104.400000  -22.601953   -2.728773 
 288.000000  544.000000    2.734704    0.005891  106.787109  100.800000   -5.987109   -1.362136 
 289.000000  545.000000    2.740599    0.005895   93.955078   99.000000    5.044922    0.943594 
 290.000000  546.000000    2.746503    0.005904   81.474609   97.200000   15.725391    2.229223 
 291.000000  547.000000    2.752404    0.005901   74.179688   95.400000   21.220313    3.226823 
 292.000000  548.000000    2.758311    0.005907   72.949219   93.600000   20.650781    3.010801 
 293.000000  549.000000    2.764208    0.005897   77.343750   91.800000   14.456250    2.074707 
 294.000000  551.000000    2.770239    0.006031   94.394531   88.200000   -6.194531    0.045005 
 295.000000  552.000000    2.776147    0.005909  105.029297   86.400000  -18.629297   -2.101710 
 296.000000  553.000000    2.782096    0.005948  111.181641   84.600000  -26.581641   -3.501350 
